"Year","University","Program","Qualification","Count"
2006,"BRO","EDU","DDE",4
2006,"BRO","FAA","B1P",93
2006,"BRO","HUM","B1P",471
2006,"BRO","HUM","MDE",24
2006,"BRO","KRP","B1P",480
2006,"BRO","MAT","B1P",33
2006,"BRO","NUR","B1P",63
2006,"BRO","OAS","B1P",78
2006,"BRO","OHP","B1P",80
2006,"BRO","OHP","MDE",22
2006,"BRO","PSC","B1P",12
2006,"BRO","PSC","MDE",9
2006,"BRO","PSC","DDE",1
2006,"BRO","SSC","B1P",712
2006,"BRO","SSC","MDE",41
2006,"BRO","SSC","DDE",1
2005,"BRO","ABS","B1P",64
2005,"BRO","ABS","MDE",6
2005,"BRO","BCO","B1P",332
2005,"BRO","BCO","MDE",95
2005,"BRO","CSC","B1P",80
2005,"BRO","EDU","B1P",768
2005,"BRO","EDU","MDE",165
2005,"BRO","EDU","DDE",1
2005,"BRO","FAA","B1P",62
2005,"BRO","HUM","B1P",342
2005,"BRO","HUM","MDE",20
2005,"BRO","KRP","B1P",477
2005,"BRO","MAT","B1P",34
2005,"BRO","NUR","B1P",69
2005,"BRO","OAS","B1P",68
2005,"BRO","OHP","B1P",100
2005,"BRO","OHP","MDE",15
2005,"BRO","PSC","B1P",17
2005,"BRO","PSC","MDE",7
2005,"BRO","SSC","B1P",569
2005,"BRO","SSC","MDE",35
2015,"CAR","ABS","B1P",139
2015,"CAR","ABS","MDE",19
2015,"CAR","ABS","DDE",11
2015,"CAR","ARC","B1P",78
2015,"CAR","ARC","MDE",44
2015,"CAR","BCO","B1P",379
2015,"CAR","BCO","MDE",63
2015,"CAR","CSC","B1P",124
2015,"CAR","CSC","MDE",26
2015,"CAR","ENG","B1P",591
2015,"CAR","ENG","MDE",251
2015,"CAR","ENG","DDE",33
2015,"CAR","FAA","B1P",74
2015,"CAR","FAA","MDE",15
2015,"CAR","HUM","B1P",644
2015,"CAR","HUM","MDE",82
2015,"CAR","HUM","DDE",9
2015,"CAR","JOU","B1P",100
2015,"CAR","JOU","MDE",21
2015,"CAR","LAW","B1P",240
2015,"CAR","LAW","MDE",22
2015,"CAR","MAT","B1P",38
2015,"CAR","MAT","MDE",21
2015,"CAR","OAS","B1P",198
2015,"CAR","OAS","MDE",14
2015,"CAR","PSC","B1P",73
2015,"CAR","PSC","MDE",14
2015,"CAR","PSC","DDE",12
2015,"CAR","SSC","B1P",1554
2015,"CAR","SSC","MDE",456
2015,"CAR","SSC","DDE",49
2014,"CAR","ABS","B1P",94
2014,"CAR","ABS","MDE",28
2014,"CAR","ABS","DDE",14
2014,"CAR","ARC","B1P",80
2014,"CAR","ARC","MDE",36
2014,"CAR","BCO","B1P",368
2014,"CAR","BCO","MDE",56
2014,"CAR","CSC","B1P",107
2014,"CAR","CSC","MDE",13
2014,"CAR","CSC","DDE",8
2014,"CAR","ENG","B1P",502
2014,"CAR","ENG","MDE",231
2014,"CAR","ENG","DDE",30
2014,"CAR","FAA","B1P",69
2014,"CAR","FAA","MDE",16
2014,"CAR","HUM","B1P",593
2014,"CAR","HUM","MDE",118
2014,"CAR","HUM","DDE",12
2014,"CAR","JOU","B1P",93
2014,"CAR","JOU","MDE",20
2014,"CAR","LAW","B1P",253
2014,"CAR","LAW","MDE",14
2014,"CAR","MAT","B1P",40
2014,"CAR","MAT","MDE",24
2014,"CAR","OAS","B1P",239
2014,"CAR","OAS","MDE",20
2014,"CAR","PSC","B1P",70
2014,"CAR","PSC","MDE",13
2014,"CAR","SSC","B1P",1565
2014,"CAR","SSC","MDE",492
2014,"CAR","SSC","DDE",51
2013,"CAR","ABS","B1P",91
2013,"CAR","ABS","MDE",24
2013,"CAR","ABS","DDE",10
2013,"CAR","ARC","B1P",63
2013,"CAR","ARC","MDE",34
2013,"CAR","BCO","B1P",353
2013,"CAR","BCO","MDE",78
2013,"CAR","CSC","B1P",100
2013,"CAR","CSC","MDE",27
2013,"CAR","CSC","DDE",7
2013,"CAR","ENG","B1P",505
2013,"CAR","ENG","MDE",191
2013,"CAR","ENG","DDE",36
2013,"CAR","FAA","B1P",69
2013,"CAR","FAA","MDE",16
2013,"CAR","HUM","B1P",633
2013,"CAR","HUM","MDE",119
2013,"CAR","HUM","DDE",16
2013,"CAR","JOU","B1P",86
2013,"CAR","JOU","MDE",29
2013,"CAR","LAW","B1P",256
2013,"CAR","LAW","MDE",33
2013,"CAR","MAT","B1P",40
2013,"CAR","MAT","MDE",14
2013,"CAR","OAS","B1P",201
2013,"CAR","OAS","MDE",16
2013,"CAR","OAS","DDE",6
2013,"CAR","PSC","B1P",66
2013,"CAR","PSC","MDE",15
2013,"CAR","PSC","DDE",7
2013,"CAR","SSC","B1P",1374
2013,"CAR","SSC","MDE",460
2013,"CAR","SSC","DDE",32
2012,"CAR","ABS","B1P",87
2012,"CAR","ABS","MDE",23
2012,"CAR","ABS","DDE",6
2012,"CAR","ARC","B1P",80
2012,"CAR","ARC","MDE",46
2012,"CAR","BCO","B1P",338
2012,"CAR","BCO","MDE",81
2012,"CAR","BCO","DDE",7
2012,"CAR","CSC","B1P",81
2012,"CAR","CSC","MDE",21
2012,"CAR","CSC","DDE",8
2012,"CAR","ENG","B1P",473
2012,"CAR","ENG","MDE",175
2012,"CAR","ENG","DDE",25
2012,"CAR","FAA","B1P",76
2012,"CAR","FAA","MDE",16
2012,"CAR","HUM","B1P",670
2012,"CAR","HUM","MDE",124
2012,"CAR","HUM","DDE",8
2012,"CAR","JOU","B1P",102
2012,"CAR","JOU","MDE",25
2012,"CAR","LAW","B1P",256
2012,"CAR","LAW","MDE",27
2012,"CAR","MAT","B1P",39
2012,"CAR","MAT","MDE",15
2012,"CAR","MAT","DDE",3
2012,"CAR","OAS","B1P",217
2012,"CAR","OAS","MDE",12
2012,"CAR","OAS","DDE",3
2012,"CAR","PSC","B1P",50
2012,"CAR","PSC","MDE",19
2012,"CAR","PSC","DDE",15
2012,"CAR","SSC","B1P",1429
2012,"CAR","SSC","MDE",462
2012,"CAR","SSC","DDE",52
2011,"CAR","ABS","B1P",83
2011,"CAR","ABS","MDE",31
2011,"CAR","ABS","DDE",13
2011,"CAR","ARC","B1P",56
2011,"CAR","ARC","MDE",47
2011,"CAR","BCO","B1P",330
2011,"CAR","BCO","MDE",105
2011,"CAR","BCO","DDE",12
2011,"CAR","CSC","B1P",90
2011,"CAR","CSC","MDE",17
2011,"CAR","CSC","DDE",5
2011,"CAR","ENG","B1P",428
2011,"CAR","ENG","MDE",147
2011,"CAR","ENG","DDE",28
2011,"CAR","FAA","B1P",45
2011,"CAR","FAA","MDE",12
2011,"CAR","HUM","B1P",635
2011,"CAR","HUM","MDE",95
2011,"CAR","HUM","DDE",10
2011,"CAR","JOU","B1P",88
2011,"CAR","JOU","MDE",19
2011,"CAR","LAW","B1P",259
2011,"CAR","LAW","MDE",36
2011,"CAR","MAT","B1P",40
2011,"CAR","MAT","MDE",22
2011,"CAR","MAT","DDE",7
2011,"CAR","OAS","B1P",179
2011,"CAR","OAS","MDE",13
2011,"CAR","OAS","DDE",7
2011,"CAR","PSC","B1P",55
2011,"CAR","PSC","MDE",20
2011,"CAR","PSC","DDE",9
2011,"CAR","SSC","B1P",1333
2011,"CAR","SSC","MDE",400
2011,"CAR","SSC","DDE",40
2010,"CAR","ABS","B1P",87
2010,"CAR","ABS","MDE",30
2010,"CAR","ABS","DDE",5
2010,"CAR","ARC","B1P",70
2010,"CAR","ARC","MDE",28
2010,"CAR","BCO","B1P",337
2010,"CAR","BCO","MDE",107
2010,"CAR","BCO","DDE",6
2010,"CAR","CSC","B1P",73
2010,"CAR","CSC","MDE",19
2010,"CAR","CSC","DDE",7
2010,"CAR","ENG","B1P",393
2010,"CAR","ENG","MDE",147
2010,"CAR","ENG","DDE",45
2010,"CAR","FAA","B1P",56
2010,"CAR","FAA","MDE",9
2010,"CAR","HUM","B1P",607
2010,"CAR","HUM","MDE",114
2010,"CAR","HUM","DDE",10
2010,"CAR","JOU","B1P",93
2010,"CAR","JOU","MDE",33
2010,"CAR","LAW","B1P",209
2010,"CAR","LAW","MDE",27
2010,"CAR","MAT","B1P",42
2010,"CAR","MAT","MDE",30
2010,"CAR","MAT","DDE",3
2010,"CAR","OAS","B1P",202
2010,"CAR","OAS","MDE",7
2010,"CAR","OAS","DDE",2
2010,"CAR","PSC","B1P",60
2010,"CAR","PSC","MDE",12
2010,"CAR","PSC","DDE",7
2010,"CAR","SSC","B1P",1382
2010,"CAR","SSC","MDE",422
2010,"CAR","SSC","DDE",32
2009,"CAR","ABS","B1P",96
2009,"CAR","ABS","MDE",30
2009,"CAR","ABS","DDE",8
2009,"CAR","ARC","B1P",69
2009,"CAR","ARC","MDE",28
2009,"CAR","BCO","B1P",297
2009,"CAR","BCO","MDE",79
2009,"CAR","BCO","DDE",4
2009,"CAR","CSC","B1P",58
2009,"CAR","CSC","MDE",19
2009,"CAR","CSC","DDE",8
2009,"CAR","ENG","B1P",380
2009,"CAR","ENG","MDE",130
2009,"CAR","ENG","DDE",37
2009,"CAR","FAA","B1P",53
2009,"CAR","HUM","B1P",632
2009,"CAR","HUM","MDE",90
2009,"CAR","HUM","DDE",12
2009,"CAR","JOU","B1P",103
2009,"CAR","JOU","MDE",25
2009,"CAR","LAW","B1P",226
2009,"CAR","LAW","MDE",28
2009,"CAR","MAT","B1P",41
2009,"CAR","MAT","MDE",17
2009,"CAR","MAT","DDE",2
2009,"CAR","OAS","B1P",162
2009,"CAR","OAS","MDE",2
2009,"CAR","OAS","DDE",8
2009,"CAR","PSC","B1P",50
2009,"CAR","PSC","MDE",11
2009,"CAR","PSC","DDE",10
2009,"CAR","SSC","B1P",1474
2009,"CAR","SSC","MDE",412
2009,"CAR","SSC","DDE",30
2008,"CAR","ABS","B1P",116
2008,"CAR","ABS","MDE",13
2008,"CAR","ABS","DDE",3
2008,"CAR","ARC","B1P",71
2008,"CAR","ARC","MDE",20
2008,"CAR","BCO","B1P",280
2008,"CAR","BCO","MDE",53
2008,"CAR","BCO","DDE",8
2008,"CAR","CSC","B1P",57
2008,"CAR","CSC","MDE",21
2008,"CAR","CSC","DDE",7
2008,"CAR","ENG","B1P",430
2008,"CAR","ENG","MDE",126
2008,"CAR","ENG","DDE",25
2008,"CAR","FAA","B1P",85
2008,"CAR","HUM","B1P",591
2008,"CAR","HUM","MDE",115
2008,"CAR","HUM","DDE",8
2008,"CAR","JOU","B1P",85
2008,"CAR","JOU","MDE",26
2008,"CAR","LAW","B1P",272
2008,"CAR","LAW","MDE",15
2008,"CAR","MAT","B1P",68
2008,"CAR","MAT","MDE",22
2008,"CAR","MAT","DDE",4
2008,"CAR","OAS","B1P",193
2008,"CAR","OAS","MDE",4
2008,"CAR","OAS","DDE",4
2008,"CAR","PSC","B1P",44
2008,"CAR","PSC","MDE",18
2008,"CAR","PSC","DDE",10
2008,"CAR","SSC","B1P",1658
2008,"CAR","SSC","MDE",349
2008,"CAR","SSC","DDE",34
2007,"CAR","ABS","B1P",123
2007,"CAR","ABS","MDE",13
2007,"CAR","ABS","DDE",2
2007,"CAR","ARC","B1P",70
2007,"CAR","ARC","MDE",34
2007,"CAR","BCO","B1P",311
2007,"CAR","BCO","MDE",78
2007,"CAR","BCO","DDE",10
2007,"CAR","CSC","B1P",69
2007,"CAR","CSC","MDE",17
2007,"CAR","CSC","DDE",9
2007,"CAR","ENG","B1P",475
2007,"CAR","ENG","MDE",123
2007,"CAR","ENG","DDE",35
2007,"CAR","FAA","B1P",100
2007,"CAR","HUM","B1P",601
2007,"CAR","HUM","MDE",104
2007,"CAR","HUM","DDE",3
2007,"CAR","JOU","B1P",97
2007,"CAR","JOU","MDE",16
2007,"CAR","LAW","B1P",224
2007,"CAR","LAW","MDE",13
2007,"CAR","MAT","B1P",75
2007,"CAR","MAT","MDE",18
2007,"CAR","MAT","DDE",3
2007,"CAR","OAS","B1P",184
2007,"CAR","OAS","MDE",2
2007,"CAR","OAS","DDE",3
2007,"CAR","PSC","B1P",27
2007,"CAR","PSC","MDE",15
2007,"CAR","PSC","DDE",6
2007,"CAR","SSC","B1P",1644
2007,"CAR","SSC","MDE",331
2007,"CAR","SSC","DDE",32
2006,"CAR","ABS","B1P",100
2006,"CAR","ABS","MDE",15
2006,"CAR","ABS","DDE",6
2006,"CAR","ARC","B1P",62
2006,"CAR","ARC","MDE",23
2006,"CAR","BCO","B1P",299
2006,"CAR","BCO","MDE",65
2006,"CAR","BCO","DDE",2
2006,"CAR","CSC","B1P",82
2006,"CAR","CSC","MDE",26
2006,"CAR","CSC","DDE",4
2006,"CAR","ENG","B1P",467
2006,"CAR","ENG","MDE",109
2006,"CAR","ENG","DDE",21
2006,"CAR","FAA","B1P",90
2006,"CAR","HUM","B1P",440
2006,"CAR","HUM","MDE",101
2006,"CAR","HUM","DDE",2
2006,"CAR","JOU","B1P",95
2006,"CAR","JOU","MDE",20
2006,"CAR","LAW","B1P",189
2006,"CAR","LAW","MDE",16
2006,"CAR","MAT","B1P",76
2006,"CAR","MAT","MDE",25
2006,"CAR","MAT","DDE",1
2006,"CAR","OAS","B1P",211
2006,"CAR","OAS","MDE",8
2006,"CAR","OAS","DDE",4
2006,"CAR","PSC","B1P",28
2006,"CAR","PSC","MDE",14
2006,"CAR","PSC","DDE",7
2006,"CAR","SSC","B1P",1368
2006,"CAR","SSC","MDE",368
2006,"CAR","SSC","DDE",29
2005,"CAR","ABS","B1P",81
2005,"CAR","ABS","MDE",12
2005,"CAR","ARC","B1P",50
2005,"CAR","ARC","MDE",44
2005,"CAR","BCO","B1P",272
2005,"CAR","BCO","MDE",57
2005,"CAR","BCO","DDE",5
2005,"CAR","CSC","B1P",100
2005,"CAR","CSC","MDE",29
2005,"CAR","CSC","DDE",3
2005,"CAR","ENG","B1P",413
2005,"CAR","ENG","MDE",149
2005,"CAR","ENG","DDE",19
2005,"CAR","FAA","B1P",88
2005,"CAR","FAA","MDE",1
2005,"CAR","HUM","B1P",428
2005,"CAR","HUM","MDE",86
2005,"CAR","HUM","DDE",5
2005,"CAR","JOU","B1P",91
2005,"CAR","JOU","MDE",16
2005,"CAR","LAW","B1P",153
2005,"CAR","LAW","MDE",11
2005,"CAR","MAT","B1P",79
2005,"CAR","MAT","MDE",33
2005,"CAR","MAT","DDE",5
2005,"CAR","OAS","B1P",135
2005,"CAR","PSC","B1P",33
2005,"CAR","PSC","MDE",17
2005,"CAR","PSC","DDE",8
2005,"CAR","SSC","B1P",1209
2005,"CAR","SSC","MDE",362
2005,"CAR","SSC","DDE",29
2014,"GUE","ABS","B1P",756
2014,"GUE","ABS","MDE",125
2014,"GUE","ABS","DDE",50
2014,"GUE","BCO","B1P",564
2014,"GUE","BCO","MDE",112
2014,"GUE","CSC","B1P",39
2014,"GUE","CSC","MDE",15
2014,"GUE","HUM","B1P",299
2014,"GUE","HUM","MDE",46
2014,"GUE","HUM","DDE",15
2014,"GUE","MAT","B1P",25
2014,"GUE","MAT","MDE",29
2014,"GUE","MAT","DDE",11
2014,"GUE","OAS","B1P",258
2014,"GUE","PSC","B1P",90
2014,"GUE","PSC","MDE",19
2014,"GUE","PSC","DDE",8
2014,"GUE","SSC","B1P",1095
2014,"GUE","SSC","MDE",153
2014,"GUE","SSC","DDE",20
2013,"GUE","ABS","B1P",767
2013,"GUE","ABS","MDE",126
2013,"GUE","ABS","DDE",60
2013,"GUE","BCO","B1P",812
2013,"GUE","BCO","MDE",85
2013,"GUE","CSC","B1P",32
2013,"GUE","CSC","MDE",14
2013,"GUE","HUM","B1P",457
2013,"GUE","HUM","MDE",58
2013,"GUE","MAT","B1P",17
2013,"GUE","MAT","MDE",45
2013,"GUE","OAS","B1P",273
2013,"GUE","PSC","B1P",63
2013,"GUE","PSC","MDE",22
2013,"GUE","PSC","DDE",10
2013,"GUE","SSC","B1P",1112
2013,"GUE","SSC","MDE",141
2013,"GUE","SSC","DDE",23
2012,"GUE","ABS","B1P",768
2012,"GUE","ABS","MDE",141
2012,"GUE","ABS","DDE",51
2012,"GUE","BCO","B1P",751
2012,"GUE","BCO","MDE",85
2012,"GUE","CSC","B1P",34
2012,"GUE","CSC","MDE",10
2012,"GUE","CSC","DDE",5
2012,"GUE","HUM","B1P",465
2012,"GUE","HUM","MDE",45
2012,"GUE","HUM","DDE",6
2012,"GUE","MAT","B1P",28
2012,"GUE","MAT","MDE",17
2012,"GUE","MAT","DDE",7
2012,"GUE","OAS","B1P",287
2012,"GUE","PSC","B1P",73
2012,"GUE","PSC","MDE",26
2012,"GUE","PSC","DDE",7
2012,"GUE","SSC","B1P",1080
2012,"GUE","SSC","MDE",122
2012,"GUE","SSC","DDE",27
2011,"GUE","ABS","B1P",700
2011,"GUE","ABS","MDE",116
2011,"GUE","ABS","DDE",52
2011,"GUE","BCO","B1P",729
2011,"GUE","BCO","MDE",109
2011,"GUE","CSC","B1P",46
2011,"GUE","CSC","MDE",9
2011,"GUE","CSC","DDE",3
2011,"GUE","HUM","B1P",412
2011,"GUE","HUM","MDE",66
2011,"GUE","HUM","DDE",3
2011,"GUE","MAT","B1P",21
2011,"GUE","MAT","MDE",20
2011,"GUE","MAT","DDE",2
2011,"GUE","OAS","B1P",232
2011,"GUE","PSC","B1P",73
2011,"GUE","PSC","MDE",15
2011,"GUE","PSC","DDE",5
2011,"GUE","SSC","B1P",1019
2011,"GUE","SSC","MDE",127
2011,"GUE","SSC","DDE",21
2010,"GUE","ABS","B1P",584
2010,"GUE","ABS","MDE",138
2010,"GUE","ABS","DDE",59
2010,"GUE","BCO","B1P",629
2010,"GUE","BCO","MDE",75
2010,"GUE","CSC","B1P",69
2010,"GUE","CSC","MDE",17
2010,"GUE","CSC","DDE",5
2010,"GUE","HUM","B1P",442
2010,"GUE","HUM","MDE",61
2010,"GUE","HUM","DDE",10
2010,"GUE","MAT","B1P",29
2010,"GUE","MAT","MDE",21
2010,"GUE","MAT","DDE",5
2010,"GUE","OAS","B1P",247
2010,"GUE","PSC","B1P",73
2010,"GUE","PSC","MDE",13
2010,"GUE","PSC","DDE",5
2010,"GUE","SSC","B1P",867
2010,"GUE","SSC","MDE",122
2010,"GUE","SSC","DDE",13
2009,"GUE","ABS","B1P",674
2009,"GUE","ABS","MDE",104
2009,"GUE","ABS","DDE",53
2009,"GUE","BCO","B1P",626
2009,"GUE","BCO","MDE",69
2009,"GUE","CSC","B1P",90
2009,"GUE","CSC","MDE",15
2009,"GUE","CSC","DDE",4
2009,"GUE","HUM","B1P",407
2009,"GUE","HUM","MDE",61
2009,"GUE","HUM","DDE",2
2009,"GUE","MAT","B1P",17
2009,"GUE","MAT","MDE",24
2009,"GUE","MAT","DDE",4
2009,"GUE","OAS","B1P",236
2009,"GUE","PSC","B1P",64
2009,"GUE","PSC","MDE",20
2009,"GUE","PSC","DDE",3
2009,"GUE","SSC","B1P",893
2009,"GUE","SSC","MDE",133
2009,"GUE","SSC","DDE",19
2008,"GUE","ABS","B1P",698
2008,"GUE","ABS","MDE",110
2008,"GUE","ABS","DDE",48
2008,"GUE","BCO","B1P",666
2008,"GUE","BCO","MDE",52
2008,"GUE","CSC","B1P",118
2008,"GUE","CSC","MDE",17
2008,"GUE","CSC","DDE",1
2008,"GUE","HUM","B1P",435
2008,"GUE","HUM","MDE",62
2008,"GUE","HUM","DDE",1
2008,"GUE","MAT","B1P",22
2008,"GUE","MAT","MDE",8
2008,"GUE","MAT","DDE",1
2008,"GUE","OAS","B1P",208
