"TaskCode","NOC","Skill","SkillLevel","EducationTrainingLevel"
"134","123","S14","L4","0"
"135","123","S14","L3","0"
"136","123","S14","L3","0"
"137","123","S14","L4","0"
"138","123","S12","L2",
"139","123","S12","L2",
"140","123","S12","L2",
"141","123","S12","L2",
"142","123","S12","L2",
"143","123","S12","L3",
"144","123","S12","L3",
"145","123","S12","L3",
"146","123","S12","L3",
"147","123","S12","L3",
"148","123","S12","L3",
"149","123","S12","L3",
"150","123","S11","L2",
"151","123","S11","L2",
"152","123","S11","L2",
"153","123","S11","L3",
"154","123","S11","L3",
"155","123","S11","L4",
"156","123","S11","L4",
"157","123","S1","L2",
"158","123","S1","L3",
"159","123","S1","L3",
"160","123","S1","L3",
"161","123","S1","L4",
"162","123","S7","L2",
"163","123","S7","L3",
"164","123","S8","L4",
"165","123","S9","L3",
"166","123","S15","L1",
"167","123","S15","L2",
"168","123","S15","L2",
"169","123","S15","L2",
"170","123","S15","L2",
"171","123","S15","L3",
"172","123","S15","L3",
"66","0621a","S1","L2","0"
"157","0621a","S1","L2","0"
"71","0621a","S2","L2","0"
"70","0621a","S2","L2","0"
"72","0621a","S2","L2","0"
"173","0621a","S2","L1","0"
"73","0621a","S2","L3","0"
"69","0621a","S2","L3","0"
"74","0621a","S2","L4","0"
"68","0621a","S2","L3","0"
"75","0621a","S3","L2","0"
"77","0621a","S3","L2","0"
"76","0621a","S3","L3","0"
"78","0621a","S4","L4","0"
"79","0621a","S5","L1","0"
"80","0621a","S6","L1","0"
"81","0621a","S6","L2","0"
"82","0621a","S6","L3","0"
"83","0621a","S7","L2","0"
"84","0621a","S8","L1","0"
"85","0621a","S8","L2","0"
"86","0621a","S8","L1","0"
"90","0621a","S8","L3","0"
"91","0621a","S8","L3","0"
"87","0621a","S8","L2","0"
"88","0621a","S8","L3","0"
"89","0621a","S8","L3","0"
"94","0621a","S8","L4","0"
"92","0621a","S8","L3","0"
"93","0621a","S8","L3","0"
"97","0621a","S9","L2","0"
"96","0621a","S9","L2","0"
"98","0621a","S9","L3","0"
"99","0621a","S9","L2","0"
"95","0621a","S9","L2","0"
"100","0621a","S10","L1","0"
"101","0621a","S10","L1","0"
"105","0621a","S10","L2","0"
"104","0621a","S10","L3","0"
"106","0621a","S10","L2","0"
"107","0621a","S10","L2","0"
"109","0621a","S10","L3","0"
"103","0621a","S10","L3","0"
"174","0621a","S10","L4","0"
"111","0621a","S10","L4","0"
"110","0621a","S10","L4","0"
"175","0621a","S11","L2","0"
"113","0621a","S11","L2","0"
"114","0621a","S12","L1","0"
"115","0621a","S12","L1","0"
"116","0621a","S12","L1","0"
"117","0621a","S12","L1","0"
"118","0621a","S12","L2","0"
"119","0621a","S12","L2","0"
"120","0621a","S12","L2","0"
"121","0621a","S12","L2","0"
"122","0621a","S12","L2","0"
"176","0621a","S13","L1","0"
"124","0621a","S13","L2","0"
"123","0621a","S13","L2","0"
"177","0621a","S13","L1","0"
"126","0621a","S13","L3","0"
"178","0621a","S13","L3","0"
"128","0621a","S14","L1","0"
"129","0621a","S14","L1","0"
"127","0621a","S14","L2","0"
"131","0621a","S14","L2","0"
"130","0621a","S14","L2","0"
"137","0621a","S14","L4","0"
"133","0621a","S14","L3","0"
"136","0621a","S14","L3","0"
"135","0621a","S14","L3","0"
"132","0621a","S14","L4","0"
"179","0621a","S14","L4","0"
"138","0621a","S12","L2",
"139","0621a","S12","L2",
"140","0621a","S12","L2",
"141","0621a","S12","L2",
"142","0621a","S12","L2",
"143","0621a","S12","L3",
"144","0621a","S12","L3",
"145","0621a","S12","L3",
"146","0621a","S12","L3",
"147","0621a","S12","L3",
"148","0621a","S12","L3",
"149","0621a","S12","L3",
"150","0621a","S11","L2",
"151","0621a","S11","L2",
"152","0621a","S11","L2",
"153","0621a","S11","L3",
"180","0621a","S11","L3",
"181","0621a","S11","L4",
"182","0621a","S11","L4",
"158","0621a","S1","L3",
"159","0621a","S1","L3",
"160","0621a","S1","L3",
"161","0621a","S1","L4",
"162","0621a","S7","L2",
"163","0621a","S7","L3",
"164","0621a","S8","L4",
"165","0621a","S9","L3",
"166","0621a","S15","L1",
"167","0621a","S15","L2",
"168","0621a","S15","L2",
"169","0621a","S15","L2",
"170","0621a","S15","L2",
"171","0621a","S15","L3",
"172","0621a","S15","L3",
"183","0621a","S15","L3",
"102","0621a","S10","L1",
"184","0621b","S1","L1","0"
"185","0621b","S2","L2","0"
"186","0621b","S2","L3","0"
"187","0621b","S2","L3","0"
"188","0621b","S2","L4","0"
"189","0621b","S2","L4","0"
"190","0621b","S3","L1","0"
"191","0621b","S3","L2","0"
"192","0621b","S3","L2","0"
"193","0621b","S3","L4","0"
"194","0621b","S4","L3","0"
"195","0621b","S6","L1","0"
"196","0621b","S6","L2","0"
"197","0621b","S6","L3","0"
"198","0621b","S7","L3","0"
"199","0621b","S8","L1","0"
"200","0621b","S8","L1","0"
"201","0621b","S8","L2","0"
"202","0621b","S8","L2","0"
"203","0621b","S8","L2","0"
"204","0621b","S8","L3","0"
"205","0621b","S8","L3","0"
"206","0621b","S8","L3","0"
"207","0621b","S9","L2","0"
"208","0621b","S9","L2","0"
"209","0621b","S9","L3","0"
"210","0621b","S9","L3","0"
"211","0621b","S10","L2","0"
"212","0621b","S10","L2","0"
"213","0621b","S10","L2","0"
"214","0621b","S10","L2","0"
"215","0621b","S10","L3","0"
"216","0621b","S10","L4","0"
"217","0621b","S10","L4","0"
"218","0621b","S10","L4","0"
"219","0621b","S11","L2","0"
"220","0621b","S11","L3","0"
"221","0621b","S11","L3","0"
"222","0621b","S11","L4","0"
"223","0621b","S12","L2","0"
"224","0621b","S12","L2","0"
"225","0621b","S12","L3","0"
"226","0621b","S12","L3","0"
"227","0621b","S12","L2","0"
"228","0621b","S12","L2","0"
"229","0621b","S12","L1","0"
"230","0621b","S13","L1","0"
"231","0621b","S13","L2","0"
"232","0621b","S13","L2","0"
"233","0621b","S13","L2","0"
"234","0621b","S13","L2","0"
"235","0621b","S13","L2","0"
"236","0621b","S13","L3","0"
"237","0621b","S13","L4","0"
"238","0621b","S13","L4","0"
"239","0621b","S14","L1","0"
"240","0621b","S14","L1","0"
"241","0621b","S14","L2","0"
"242","0621b","S14","L2","0"
"243","0621b","S14","L3","0"
"244","0621b","S14","L3","0"
"245","0621b","S14","L4","0"
"246","0621b","S14","L4","0"
"247","631","S1","L1","0"
"66","631","S1","L2","0"
"71","631","S2","L2","0"
"69","631","S2","L3","0"
"70","631","S2","L2","0"
"73","631","S2","L3","0"
"68","631","S2","L3","0"
"74","631","S2","L4","0"
"72","631","S2","L2","0"
"75","631","S3","L2","0"
"77","631","S3","L2","0"
"76","631","S3","L3","0"
"78","631","S4","L4","0"
"248","631","S5","L1","0"
"81","631","S6","L2","0"
"80","631","S6","L1","0"
"82","631","S6","L3","0"
"83","631","S7","L2","0"
"84","631","S8","L1","0"
"85","631","S8","L2","0"
"86","631","S8","L1","0"
"88","631","S8","L3","0"
"90","631","S8","L3","0"
"89","631","S8","L3","0"
"87","631","S8","L2","0"
"91","631","S8","L3","0"
"93","631","S8","L3","0"
"92","631","S8","L3","0"
"94","631","S8","L4","0"
"97","631","S9","L2","0"
"96","631","S9","L2","0"
"98","631","S9","L3","0"
"99","631","S9","L2","0"
"249","631","S9","L2","0"
"100","631","S10","L1","0"
"101","631","S10","L1","0"
"102","631","S10","L1","0"
"105","631","S10","L2","0"
"106","631","S10","L2","0"
"107","631","S10","L2","0"
"104","631","S10","L3","0"
"103","631","S10","L3","0"
"109","631","S10","L3","0"
"108","631","S10","L4","0"
"111","631","S10","L4","0"
"110","631","S10","L4","0"
"175","631","S11","L2","0"
"182","631","S11","L4","0"
"114","631","S12","L1","0"
"115","631","S12","L1","0"
"116","631","S12","L1","0"
"117","631","S12","L1","0"
"118","631","S12","L2","0"
"120","631","S12","L2","0"
"121","631","S12","L2","0"
"122","631","S12","L2","0"
"177","631","S13","L1","0"
"250","631","S13","L2","0"
"124","631","S13","L2","0"
"123","631","S13","L2","0"
"126","631","S13","L3","0"
"131","631","S14","L2","0"
"128","631","S14","L1","0"
"127","631","S14","L2","0"
"129","631","S14","L1","0"
"130","631","S14","L2","0"
"251","631","S14","L3","0"
"132","631","S14","L4","0"
"133","631","S14","L3","0"
"136","631","S14","L3","0"
"252","631","S14","L4","0"
"135","631","S14","L3","0"
"137","631","S14","L4","0"
"138","631","S12","L2",
"139","631","S12","L2",
"140","631","S12","L2",
"141","631","S12","L2",
"142","631","S12","L2",
"143","631","S12","L3",
"144","631","S12","L3",
"145","631","S12","L3",
"146","631","S12","L3",
"147","631","S12","L3",
"148","631","S12","L3",
"149","631","S12","L3",
"150","631","S11","L2",
"151","631","S11","L2",
"152","631","S11","L2",
"153","631","S11","L3",
"180","631","S11","L3",
"253","631","S11","L4",
"113","631","S11","L2",
"79","631","S5","L1",
"157","631","S1","L2",
"158","631","S1","L3",
"159","631","S1","L3",
"160","631","S1","L3",
"161","631","S1","L4",
"162","631","S7","L2",
"163","631","S7","L3",
"254","631","S8","L4",
"165","631","S9","L3",
"166","631","S15","L1",
"167","631","S15","L2",
"168","631","S15","L2",
"170","631","S15","L2",
"171","631","S15","L3",
"172","631","S15","L3",
"255","631","S12","L2",
"66","0632a","S1","L2","0"
"256","0632a","S1","L2","0"
"257","0632a","S2","L2","0"
"73","0632a","S2","L3","0"
"72","0632a","S2","L2","0"
"70","0632a","S2","L2","0"
"69","0632a","S2","L3","0"
"68","0632a","S2","L3","0"
"74","0632a","S2","L4","0"
"75","0632a","S3","L2","0"
"77","0632a","S3","L2","0"
"76","0632a","S3","L3","0"
"78","0632a","S4","L4","0"
"79","0632a","S5","L1","0"
"80","0632a","S6","L1","0"
"81","0632a","S6","L2","0"
"82","0632a","S6","L3","0"
"83","0632a","S7","L2","0"
"84","0632a","S8","L1","0"
"86","0632a","S8","L1","0"
"85","0632a","S8","L2","0"
"88","0632a","S8","L3","0"
"87","0632a","S8","L2","0"
"89","0632a","S8","L3","0"
"91","0632a","S8","L3","0"
"90","0632a","S8","L3","0"
"92","0632a","S8","L3","0"
"93","0632a","S8","L3","0"
"94","0632a","S8","L4","0"
"98","0632a","S9","L3","0"
"96","0632a","S9","L2","0"
"97","0632a","S9","L2","0"
"99","0632a","S9","L2","0"
"258","0632a","S9","L2","0"
"100","0632a","S10","L1","0"
"102","0632a","S10","L1","0"
"101","0632a","S10","L1","0"
"103","0632a","S10","L3","0"
"106","0632a","S10","L2","0"
"259","0632a","S10","L2","0"
"104","0632a","S10","L3","0"
"107","0632a","S10","L2","0"
"108","0632a","S10","L4","0"
"109","0632a","S10","L3","0"
"111","0632a","S10","L4","0"
"110","0632a","S10","L4","0"
"175","0632a","S11","L2","0"
"113","0632a","S11","L2","0"
"114","0632a","S12","L1","0"
"115","0632a","S12","L1","0"
"116","0632a","S12","L1","0"
"117","0632a","S12","L1","0"
"118","0632a","S12","L2","0"
"119","0632a","S12","L2","0"
"120","0632a","S12","L2","0"
"121","0632a","S12","L2","0"
"122","0632a","S12","L2","0"
"177","0632a","S13","L1","0"
"124","0632a","S13","L2","0"
"123","0632a","S13","L2","0"
"126","0632a","S13","L3","0"
"131","0632a","S14","L2","0"
"127","0632a","S14","L2","0"
"128","0632a","S14","L1","0"
"129","0632a","S14","L1","0"
"130","0632a","S14","L2","0"
"260","0632a","S14","L3","0"
"132","0632a","S14","L4","0"
"136","0632a","S14","L3","0"
"133","0632a","S14","L3","0"
"137","0632a","S14","L4","0"
"135","0632a","S14","L3","0"
"261","0632a","S14","L4","0"
"138","0632a","S12","L2",
"139","0632a","S12","L2",
"140","0632a","S12","L2",
"141","0632a","S12","L2",
"142","0632a","S12","L2",
"143","0632a","S12","L3",
"144","0632a","S12","L3",
"145","0632a","S12","L3",
"146","0632a","S12","L3",
"147","0632a","S12","L3",
"148","0632a","S12","L3",
"149","0632a","S12","L3",
"150","0632a","S11","L2",
"151","0632a","S11","L2",
"262","0632a","S11","L2",
"153","0632a","S11","L3",
"180","0632a","S11","L3",
"253","0632a","S11","L4",
"182","0632a","S11","L4",
"158","0632a","S1","L3",
"159","0632a","S1","L3",
"160","0632a","S1","L3",
"161","0632a","S1","L4",
"162","0632a","S7","L2",
"163","0632a","S7","L3",
"164","0632a","S8","L4",
"165","0632a","S9","L3",
"166","0632a","S15","L1",
"167","0632a","S15","L2",
"168","0632a","S15","L2",
"171","0632a","S15","L3",
"170","0632a","S15","L2",
"172","0632a","S15","L3",
"263","0632a","S13","L1",
"264","0632a","S13","L1",
"265","0632b","S1","L2","0"
"266","0632b","S2","L2","0"
"267","0632b","S2","L2","0"
"268","0632b","S2","L2","0"
"269","0632b","S2","L4","0"
"270","0632b","S2","L4","0"
"271","0632b","S3","L1","0"
"272","0632b","S3","L1","0"
"273","0632b","S3","L2","0"
"274","0632b","S3","L3","0"
"275","0632b","S3","L3","0"
"276","0632b","S4","L3","0"
"277","0632b","S5","L1","0"
"278","0632b","S5","L1","0"
"279","0632b","S5","L2","0"
"280","0632b","S6","L1","0"
"281","0632b","S6","L2","0"
"282","0632b","S6","L2","0"
"283","0632b","S7","L3","0"
"284","0632b","S8","L1","0"
"285","0632b","S8","L1","0"
"286","0632b","S8","L2","0"
"287","0632b","S8","L2","0"
"288","0632b","S8","L2","0"
"289","0632b","S8","L3","0"
"290","0632b","S8","L3","0"
"291","0632b","S9","L2","0"
"292","0632b","S9","L2","0"
"293","0632b","S9","L3","0"
"294","0632b","S9","L3","0"
"295","0632b","S10","L1","0"
"296","0632b","S10","L2","0"
"297","0632b","S10","L2","0"
"298","0632b","S10","L2","0"
"299","0632b","S10","L3","0"
"300","0632b","S10","L4","0"
"301","0632b","S10","L4","0"
"302","0632b","S11","L1","0"
"303","0632b","S11","L2","0"
"304","0632b","S11","L3","0"
"305","0632b","S11","L4","0"
"306","0632b","S12","L2","0"
"307","0632b","S12","L2","0"
"308","0632b","S12","L2","0"
"49","0632b","S12","L2","0"
"309","0632b","S12","L2","0"
"310","0632b","S12","L3","0"
"311","0632b","S13","L1","0"
"312","0632b","S13","L2","0"
"313","0632b","S13","L3","0"
"314","0632b","S13","L3","0"
"315","0632b","S13","L3","0"
"316","0632b","S13","L3","0"
"317","0632b","S13","L3","0"
"318","0632b","S14","L1","0"
"319","0632b","S14","L2","0"
"320","0632b","S14","L3","0"
"321","0632b","S14","L4","0"
"322","0632b","S14","L4","0"
"323","0632b","S14","L4","0"
"324","0632b","S14","L5","0"
"325","0632b","S14","L5","0"
"66","712","S1","L2","0"
"173","712","S2","L1","0"
"68","712","S2","L3","0"
"69","712","S2","L3","0"
"70","712","S2","L2","0"
"71","712","S2","L2","0"
"72","712","S2","L2","0"
"73","712","S2","L3","0"
"74","712","S2","L4","0"
"75","712","S3","L2","0"
"77","712","S3","L2","0"
"76","712","S3","L3","0"
"78","712","S4","L4","0"
"79","712","S5","L1","0"
"80","712","S6","L1","0"
"81","712","S6","L2","0"
"82","712","S6","L3","0"
"162","712","S7","L2","0"
"86","712","S8","L1","0"
"85","712","S8","L2","0"
"91","712","S8","L3","0"
"90","712","S8","L3","0"
"326","712","S8","L3","0"
"87","712","S8","L2","0"
"94","712","S8","L4","0"
"164","712","S8","L4","0"
"97","712","S9","L2","0"
"96","712","S9","L2","0"
"98","712","S9","L3","0"
"327","712","S9","L2","0"
"99","712","S9","L2","0"
"100","712","S10","L1","0"
"101","712","S10","L1","0"
"102","712","S10","L1","0"
"104","712","S10","L3","0"
"259","712","S10","L2","0"
"106","712","S10","L2","0"
"107","712","S10","L2","0"
"103","712","S10","L3","0"
"109","712","S10","L3","0"
"111","712","S10","L4","0"
"108","712","S10","L4","0"
"110","712","S10","L4","0"
"112","712","S11","L2","0"
"113","712","S11","L2","0"
"114","712","S12","L1","0"
"115","712","S12","L1","0"
"116","712","S12","L1","0"
"117","712","S12","L1","0"
"118","712","S12","L2","0"
"119","712","S12","L2","0"
"120","712","S12","L2","0"
"121","712","S12","L2","0"
"122","712","S12","L2","0"
"263","712","S13","L1","0"
"328","712","S13","L2","0"
"329","712","S13","L2","0"
"177","712","S13","L1","0"
"330","712","S13","L1","0"
"123","712","S13","L2","0"
"126","712","S13","L3","0"
"331","712","S13","L4","0"
"129","712","S14","L1","0"
"128","712","S14","L1","0"
"127","712","S14","L2","0"
"131","712","S14","L2","0"
"260","712","S14","L3","0"
"130","712","S14","L2","0"
"132","712","S14","L4","0"
"136","712","S14","L3","0"
"133","712","S14","L3","0"
"332","712","S14","L3","0"
"135","712","S14","L3","0"
"333","712","S14","L4","0"
"137","712","S14","L4","0"
"138","712","S12","L2",
"139","712","S12","L2",
"140","712","S12","L2",
"141","712","S12","L2",
"334","712","S12","L2",
"143","712","S12","L3",
"144","712","S12","L3",
"145","712","S12","L3",
"146","712","S12","L3",
"147","712","S12","L3",
"148","712","S12","L3",
"149","712","S12","L3",
"150","712","S11","L2",
"151","712","S11","L2",
"152","712","S11","L2",
"153","712","S11","L3",
"335","712","S11","L3",
"181","712","S11","L4",
"336","712","S11","L4",
"337","712","S11","L4",
"338","712","S1","L3",
"159","712","S1","L3",
"160","712","S1","L3",
"161","712","S1","L4",
"83","712","S7","L2",
"165","712","S9","L3",
"166","712","S15","L1",
"167","712","S15","L2",
"168","712","S15","L2",
"170","712","S15","L2",
"171","712","S15","L3",
"172","712","S15","L3",
"339","712","S15","L3",
"163","712","S7","L3",
"340","712","S8","L3",
"92","712","S8","L3",
"93","712","S8","L3",
"341","0712b","S10","L1","0"
"342","0712b","S10","L1","0"
"343","0712b","S10","L2","0"
"344","0712b","S10","L2","0"
"345","0712b","S10","L3","0"
"346","0712b","S10","L3","0"
"347","0712b","S10","L3","0"
"348","0712b","S10","L4","0"
"349","0712b","S13","L1","0"
"350","0712b","S13","L2","0"
"351","0712b","S13","L2","0"
"352","0712b","S13","L2","0"
"353","0712b","S13","L2","0"
"354","0712b","S13","L3","0"
"355","0712b","S13","L3","0"
"356","0712b","S14","L1","0"
"357","0712b","S14","L2","0"
"358","0712b","S14","L2","0"
"359","0712b","S14","L3","0"
"360","0712b","S14","L3","0"
"361","0712b","S14","L3","0"
"362","0712b","S14","L3","0"
"363","0712b","S8","L2","0"
"364","0712b","S8","L2","0"
"365","0712b","S8","L3","0"
"366","0712b","S9","L1","0"
"367","0712b","S9","L2","0"
"368","0712b","S9","L2","0"
"369","0712b","S9","L3","0"
"370","0712b","S2","L1","0"
"371","0712b","S2","L3","0"
"372","0712b","S2","L3","0"
"373","0712b","S4","L3","0"
"374","0712b","S3","L2","0"
"375","0712b","S3","L2","0"
"376","0712b","S12","L2","0"
"377","0712b","S12","L2","0"
"378","0712b","S12","L2","0"
"379","0712b","S12","L2","0"
"380","0712b","S12","L2","0"
"381","0712b","S12","L3","0"
"382","0712b","S12","L3","0"
"383","0712b","S6","L3","0"
"384","0712b","S11","L3","0"
"385","0712b","S11","L4","0"
"386","0712b","S11","L4","0"
"387","0712b","S11","L4","0"
"388","0712b","S5","L1","0"
"389","0712b","S5","L2","0"
"390","0712b","S5","L3","0"
"391","0712b","S1","L1","0"
"392","0712b","S1","L3","0"
"393","0712b","S1","L4","0"
"394","0712b","S7","L1","0"
"395","0712b","S7","L1","0"
"396","0712b","S7","L3","0"
"397","0712b","S15","L2",
"398","0712b","S15","L2",
"399","0712b","S15","L2",
"400","0712b","S15","L2",
"401","0712b","S15","L3",
"402","721","S1","L2","0"
"403","721","S2","L2","0"
"404","721","S2","L2","0"
"405","721","S2","L3","0"
"406","721","S2","L3","0"
"407","721","S2","L4","0"
"408","721","S2","L4","0"
"409","721","S3","L2","0"
"410","721","S3","L2","0"
"411","721","S3","L2","0"
"412","721","S3","L3","0"
"413","721","S3","L3","0"
"414","721","S4","L3","0"
"415","721","S5","L3","0"
"416","721","S6","L1","0"
"417","721","S6","L2","0"
"418","721","S6","L2","0"
"419","721","S6","L2","0"
"420","721","S7","L3","0"
"421","721","S8","L1","0"
"422","721","S8","L2","0"
"423","721","S8","L2","0"
"424","721","S8","L3","0"
"425","721","S8","L3","0"
"426","721","S8","L2","0"
"427","721","S8","L3","0"
"428","721","S8","L3","0"
"429","721","S9","L2","0"
"430","721","S9","L3","0"
"431","721","S10","L2","0"
"432","721","S10","L2","0"
"433","721","S10","L2","0"
"434","721","S10","L2","0"
"435","721","S10","L2","0"
"436","721","S10","L3","0"
"437","721","S10","L3","0"
"438","721","S10","L4","0"
"439","721","S10","L4","0"
"440","721","S11","L3","0"
"441","721","S11","L3","0"
"442","721","S11","L4","0"
"443","721","S12","L2","0"
"444","721","S12","L3","0"
"445","721","S12","L2","0"
"446","721","S12","L3","0"
"49","721","S12","L2","0"
"51","721","S12","L4","0"
"447","721","S12","L2","0"
"448","721","S13","L1","0"
"449","721","S13","L2","0"
"450","721","S13","L2","0"
"451","721","S13","L2","0"
"452","721","S13","L2","0"
"453","721","S13","L2","0"
"454","721","S13","L2","0"
"455","721","S13","L3","0"
"456","721","S13","L3","0"
"457","721","S13","L3","0"
"458","721","S13","L3","0"
"459","721","S13","L3","0"
"460","721","S13","L4","0"
"461","721","S14","L2","0"
"462","721","S14","L2","0"
"463","721","S14","L2","0"
"464","721","S14","L2","0"
"465","721","S14","L3","0"
"466","721","S14","L3","0"
"467","721","S14","L3","0"
"468","721","S14","L3","0"
"469","721","S14","L4","0"
"470","721","S14","L2","0"
"471","721","S14","L3","0"
"472","1111","S10","L1","A"
"473","1111","S10","L2","A"
"474","1111","S10","L3","A"
"475","1111","S10","L3","A"
"476","1111","S10","L4","A"
"477","1111","S10","L4","A"
"478","1111","S10","L4","A"
"479","1111","S10","L4","A"
"480","1111","S10","L5","A"
"481","1111","S14","L1","A"
"482","1111","S14","L2","A"
"483","1111","S14","L3","A"
"484","1111","S14","L4","A"
"485","1111","S14","L4","A"
"486","1111","S14","L4","A"
"487","1111","S13","L2","A"
"488","1111","S13","L3","A"
"489","1111","S13","L3","A"
"490","1111","S13","L3","A"
"491","1111","S13","L3","A"
"492","1111","S13","L3","A"
"493","1111","S12","L2","A"
"494","1111","S12","L2","A"
"495","1111","S12","L3","A"
"496","1111","S12","L3","A"
"497","1111","S12","L3","A"
"498","1111","S12","L3","A"
"499","1111","S12","L3","A"
"500","1111","S8","L2","A"
"501","1111","S8","L2","A"
"502","1111","S8","L3","A"
"503","1111","S8","L3","A"
"504","1111","S8","L3","A"
"505","1111","S6","L2","A"
"506","1111","S6","L3","A"
"507","1111","S11","L3","A"
"508","1111","S11","L3","A"
"509","1111","S11","L4","A"
"510","1111","S11","L4","A"
"511","1111","S11","L5","A"
"512","1111","S11","L5","A"
"513","1111","S1","L3","A"
"514","1111","S1","L3","A"
"515","1111","S7","L2","A"
"516","1111","S7","L3","A"
"517","1111","S4","L4","A"
"518","1111","S4","L4","A"
"519","1111","S2","L2","A"
"520","1111","S2","L3","A"
"521","1111","S2","L3","A"
"522","1111","S9","L2","A"
"523","1111","S9","L3","A"
"524","1111","S3","L3","A"
"525","1111","S15","L2",
"526","1111","S15","L3",
"527","1111","S15","L3",
"528","1111","S15","L3",
"529","1114","S8","L1","A"
"530","1114","S8","L2","A"
"531","1114","S8","L3","A"
"532","1114","S8","L3","A"
"533","1114","S8","L4","A"
"534","1114","S8","L4","A"
"535","1114","S8","L4","A"
"536","1114","S9","L1","A"
"537","1114","S9","L1","A"
"538","1114","S9","L2","A"
"539","1114","S9","L3","A"
"540","1114","S2","L2","A"
"541","1114","S2","L3","A"
"542","1114","S2","L3","A"
"543","1114","S4","L3","A"
"544","1114","S3","L2","A"
"545","1114","S3","L3","A"
"546","1114","S12","L3","A"
"547","1114","S12","L3","A"
"548","1114","S10","L1","A"
"549","1114","S10","L2","A"
"550","1114","S10","L3","A"
"551","1114","S10","L3","A"
"552","1114","S12","L2","A"
"553","1114","S12","L3","A"
"554","1114","S12","L3","A"
"555","1114","S12","L2","A"
"556","1114","S12","L2","A"
"557","1114","S10","L3","A"
"558","1114","S10","L4","A"
"559","1114","S13","L1","A"
