"University","Program","MaxEnrolment","ProgramType","MinGradeAvg","Specialization","Recommended","PrerequisiteGroup","PrerequisitePicks","PrerequisiteCodes"
"ALG","JAN","Open","Reg/Coop/Int/Prac","65+","All",,2,5,"Other 4U/M"
"ALG","JAP","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JAP","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JAP","Open","Reg/Coop/Int","65+","All",,3,1,"Audition"
"ALG","JAQ","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JAQ","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JBF","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JBF","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JAR","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JAR","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JBG","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JBG","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JBH","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JBH","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JCA","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JCA","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JCA","Open","Reg/Coop/Int","65+","All",,3,1,"Portfolio"
"ALG","JAL","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JAL","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JBD","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JBD","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"ALG","JBE","Open","Reg/Coop/Int","65+","All",,1,1,"ENG4U"
"ALG","JBE","Open","Reg/Coop/Int","65+","All",,2,5,"Other 4U/M"
"BRO","BSM",817,"Reg/Int/Prac","80-83","All",,1,1,"ENG4U"
"BRO","BSM",817,"Reg/Int/Prac","80-83","All",,2,1,"4U Math"
"BRO","BAH",817,"Reg","74-76","All",,1,1,"ENG4U"
"BRO","BAH",817,"Reg","74-76","All",,2,1,"SBI4U"
"BRO","BAH",817,"Reg","74-76","All",,2,1,"SCH4U"
"BRO","BAH",817,"Reg","74-76","All","Y",3,1,"SNC4M"
"BRO","BAH",817,"Reg","74-76","All","Y",3,1,"PSE4U"
"BRO","BAH",817,"Reg","74-76","All","Y",3,1,"PSK4U"
"BRO","BAH",817,"Reg","74-76","All","Y",4,1,"3U Math"
"BRO","BSK",817,"Reg","77-79","All",,1,1,"ENG4U"
"BRO","BSK",817,"Reg","77-79","All",,2,1,"MHF4U"
"BRO","BSK",817,"Reg","77-79","All",,2,1,"MCV4U"
"BRO","BSK",817,"Reg","77-79","All",,3,1,"SBI4U"
"BRO","BSK",817,"Reg","77-79","All","Y",4,1,"SPH4U"
"BRO","BSK",817,"Reg","77-79","All","Y",4,1,"PSE4U"
"BRO","BSK",817,"Reg","77-79","All","Y",4,1,"SCH4U"
"BRO","BSK",817,"Reg","77-79","All","Y",4,1,"PSK4U"
"BRO","BSH",817,"Reg","84-86","All",,1,2,"ENG4U"
"BRO","BSH",817,"Reg","84-86","All",,1,2,"SBI4U"
"BRO","BSH",817,"Reg","84-86","All",,2,1,"SCH4U"
"BRO","BSH",817,"Reg","84-86","All",,3,1,"4U Math"
"BRO","BSH",817,"Reg","84-86","All","Y",3,1,"MDM4U Math"
"BRO","BSH",817,"Reg","84-86","All","Y",4,1,"PSE4U"
"BRO","BSH",817,"Reg","84-86","All","Y",4,1,"PSK4U"
"BRO","BNS",817,"Reg/Int/Prac","87-89","All",,1,1,"ENG4U"
"BRO","BNS",817,"Reg/Int/Prac","87-89","All",,2,1,"SBI4U"
"BRO","BNS",817,"Reg/Int/Prac","87-89","All",,3,1,"SCH4U"
"BRO","BNS",817,"Reg/Int/Prac","87-89","All",,4,1,"4U Math"
"BRO","BP",817,"Reg/Int/Prac","74-76","All",,1,2,"ENG4U"
"BRO","BP",817,"Reg/Int/Prac","74-76","All",,1,2,"SBI4U"
"BRO","BP",817,"Reg/Int/Prac","74-76","All",,2,1,"4U Math"
"BRO","BP",817,"Reg/Int/Prac","74-76","All","Y",3,1,"PSE4U"
"BRO","BP",817,"Reg/Int/Prac","74-76","All","Y",3,1,"PSK4U"
"BRO","BPU",665,"Reg/Coop","80-83","All",,1,1,"ENG4U"
"BRO","BPU",665,"Reg/Coop","80-83","All",,2,1,"SBI4U"
"BRO","BPU",665,"Reg/Coop","80-83","All",,2,1,"SCH4U"
"BRO","BPU",665,"Reg/Coop","80-83","All","Y",3,1,"SNC4M"
"BRO","BPU",665,"Reg/Coop","80-83","All","Y",3,1,"PSE4U"
"BRO","BPU",665,"Reg/Coop","80-83","All","Y",3,1,"3U Math"
"BRO","BPU",665,"Reg/Coop","80-83","All","Y",3,1,"PSK4U Math"
"BRO","BW",665,"Reg/Int/Prac","74-76","All",,1,1,"ENG4U"
"BRO","BHL",817,"Reg/Int/Prac","74-76","All",,1,2,"ENG4U"
"BRO","BHL",817,"Reg/Int/Prac","74-76","All",,1,2,"SBI4U"
"BRO","BHL",817,"Reg/Int/Prac","74-76","All","Y",2,1,"3U Math"
"BRO","BPK",817,"Reg/Coop","80-83","All",,1,2,"ENG4U"
"BRO","BPK",817,"Reg/Coop","80-83","All",,1,2,"SBI4U"
"BRO","BPK",817,"Reg/Coop","80-83","All",,2,1,"4U Math"
"BRO","BPK",817,"Reg/Coop","80-83","All","Y",2,1,"MHF4U Math"
"BRO","BPK",817,"Reg/Coop","80-83","All","Y",3,1,"PSE4U"
"BRO","BPK",817,"Reg/Coop","80-83","All","Y",3,1,"PSK4U"
"BRO","BN",565,"Reg","77-79","All",,1,1,"ENG4U"
"BRO","BN",565,"Reg","77-79","All",,2,2,"4U Math"
"BRO","BN",565,"Coop","80-83","All",,1,1,"ENG4U"
"BRO","BN",565,"Coop","80-83","All",,2,2,"4U Math"
"BRO","BK",685,"Reg","84-86","All",,1,1,"ENG4U"
"BRO","BK",685,"Reg","84-86","All",,2,2,"4U Math"
"BRO","BK",685,"Coop","85-89","All",,1,1,"ENG4U"
"BRO","BK",685,"Coop","85-89","All",,2,2,"4U Math"
"BRO","BND",20,"Reg/Coop","88-92","All",,1,1,"ENG4U"
"BRO","BND",20,"Reg/Coop","88-92","All",,2,2,"4U Math"
"BRO","BPI",325,"Reg/Int/Prac","84-86","All",,1,2,"ENG4U"
"BRO","BPI",325,"Reg/Int/Prac","84-86","All",,1,2,"SBI4U"
"BRO","BPI",325,"Reg/Int/Prac","84-86","All",,2,1,"4U Math"
"BRO","BPI",325,"Reg/Int/Prac","84-86","All","Y",3,1,"PSE4U"
"BRO","BPI",325,"Reg/Int/Prac","84-86","All","Y",3,1,"PSK4U"
"BRO","BIJ",365,"Reg/Int/Prac","77-79","All",,1,1,"ENG4U"
"BRO","BIJ",365,"Reg/Int/Prac","77-79","All",,2,1,"MHF4U"
"BRO","BIJ",365,"Reg/Int/Prac","77-79","All",,2,1,"MCV4U"
"BRO","BDP",325,"Reg/Int/Prac","85-89","All",,1,1,"ENG4U"
"BRO","BDP",325,"Reg/Int/Prac","85-89","All",,2,1,"4U Math"
"BRO","BDP",325,"Reg/Int/Prac","85-89","All","Y",2,1,"MDM4U Math"
"BRO","BAJ",325,"Reg/Int/Prac","77-79","All",,1,1,"ENG4U"
"BRO","BAJ",325,"Reg/Int/Prac","77-79","All",,2,1,"4U Math"
"BRO","BPJ",325,"Reg/Int/Prac","80-83","All",,1,2,"ENG4U"
"BRO","BPJ",325,"Reg/Int/Prac","80-83","All",,1,2,"SBI4U"
"BRO","BPJ",325,"Reg/Int/Prac","80-83","All",,2,1,"4U Math"
"BRO","BPJ",325,"Reg/Int/Prac","80-83","All","Y",3,1,"PSE4U"
"BRO","BPJ",325,"Reg/Int/Prac","80-83","All","Y",3,1,"PSK4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,1,1,"ENG4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,2,1,"MHF4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,2,1,"MCV4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,2,1,"SCH4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,3,1,"SBI4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,3,1,"SPH4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,3,1,"SES4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics",,4,1,"4U Math"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics","Y",5,2,"4U Math"
"BRO","BII",325,"Reg/Int/Prac","77-79","Biological Sciences, Chemistry, Physics","Y",5,2,"SPH4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Mathematics",,1,1,"ENG4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Mathematics",,2,1,"MHF4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Mathematics",,3,1,"MCV4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,1,1,"ENG4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,2,1,"MHF4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,2,1,"MCV4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,2,1,"SBI4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,2,1,"SPH4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,2,1,"SCH4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography",,2,1,"SES4U"
"BRO","BII",325,"Reg/Int/Prac","77-79","Geography","Y",3,1,"SCH4U"
"BRO","BAI",325,"Reg/Int/Prac","84-86","All",,1,1,"ENG4U"
"BRO","BAI",325,"Reg/Int/Prac","84-86","All",,2,1,"4U Math"
"BRO","BAI",325,"Reg/Int/Prac","84-86","French",,1,1,"ENG4U"
"BRO","BAI",325,"Reg/Int/Prac","84-86","French",,2,1,"4U Math"
"BRO","BAI",325,"Reg/Int/Prac","84-86","French",,3,1,"FSF4U"
"BRO","BAI",325,"Reg/Int/Prac","84-86","French",,3,1,"FEF4U"
"BRO","BAI",325,"Reg/Int/Prac","84-86","French",,3,1,"FIF4U"
"BRO","BAI",325,"Reg/Int/Prac","84-86","Dramatic Arts",,1,1,"Invitational"
"BRO","BAI",325,"Reg/Int/Prac","84-86","Visual Arts",,1,1,"Portfolio"
"BRO","BHI",618,"Reg/Coop","74-76","All",,1,1,"ENG4U"
"BRO","BHI",618,"Reg/Coop","74-76","All","Y",2,1,"4U History"
"BRO","BHI",618,"Reg/Coop","74-76","All","Y",2,1,"4U Philosophy"
"BRO","BHI",618,"Reg/Coop","74-76","All","Y",2,1,"4U Classical Studies"
"BRO","BHI",618,"Reg/Coop","74-76","All","Y",2,1,"4U International Language"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All",,1,1,"ENG4U"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All","Y",2,1,"4U History"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All","Y",2,1,"4U Philosophy"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All","Y",2,1,"HZT4U"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All","Y",2,1,"4U Classical Studies"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All","Y",2,1,"LVV4U"
"BRO","BHE",648,"Reg/Int/Prac","70-75","All","Y",2,1,"4U International Language"
"BRO","BIS",618,"Reg","74-76","All",,1,1,"ENG4U"
"BRO","BIS",618,"Reg","74-76","All","Y",2,1,"4U History"
"BRO","BIS",618,"Reg","74-76","All","Y",2,1,"4U Philosophy"
"BRO","BIS",618,"Reg","74-76","All","Y",2,1,"4U Classical Studies"
"BRO","BIS",618,"Reg","74-76","All","Y",2,1,"4U International Language"
"BRO","BGD","Open","Reg","","All",,1,1,"ENG4U"
"BRO","BGD","Open","Reg","","All","Y",2,1,"4U History"
"BRO","BGD","Open","Reg","","All","Y",2,1,"ASM4U"
"BRO","BGD","Open","Reg","","All","Y",2,1,"AVI4M"
"BRO","BGD","Open","Reg","","All","Y",2,1,"ADA4M"
"BRO","BR",618,"Reg","74-76","All",,1,1,"ENG4U"
"BRO","BR",618,"Reg","74-76","All",,2,1,"Portfolio"
"BRO","BR",618,"Reg","74-76","All","Y",3,1,"4U History"
"BRO","BR",618,"Reg","74-76","All","Y",3,1,"4U Philosophy"
"BRO","BR",618,"Reg","74-76","All","Y",3,1,"HZT4U"
"BRO","BR",618,"Reg","74-76","All","Y",3,1,"4U Classical Studies"
"BRO","BR",618,"Reg","74-76","All","Y",3,1,"LVV4U"
"BRO","BR",618,"Reg","74-76","All","Y",3,1,"4U International Language"
"BRO","BT",618,"Reg","74-76","All",,1,1,"ENG4U"
"BRO","BT",618,"Reg","74-76","All",,2,1,"Invitational"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"4U History"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"4U Philosophy"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"HZT4U"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"4U Classical Studies"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"LVV4U"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"4U International Language"
"BRO","BT",618,"Reg","74-76","All","Y",3,1,"ADA4M"
"BRO","BT",618,"Coop","77-79","All",,1,1,"ENG4U"
"BRO","BT",618,"Coop","77-79","All",,2,1,"Invitational"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"4U History"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"4U Philosophy"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"HZT4U"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"4U Classical Studies"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"LVV4U"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"4U International Language"
"BRO","BT",618,"Coop","77-79","All","Y",3,1,"ADA4M"
"BRO","BM",835,"Reg","74-76","All",,1,1,"ENG4U"
"BRO","BM",835,"Reg","74-76","All","Y",2,1,"4U History"
"BRO","BM",835,"Reg","74-76","All","Y",2,1,"4U Philosophy"
"BRO","BM",835,"Reg","74-76","All","Y",2,1,"HZT4U"
"BRO","BM",835,"Reg","74-76","All","Y",2,1,"4U Classical Studies"
"BRO","BM",835,"Reg","74-76","All","Y",2,1,"LVV4U"
"BRO","BM",835,"Reg","74-76","All","Y",2,1,"4U International Language"
"BRO","BM",835,"Reg","74-76","All",,3,1,"Audition"
"BRO","BI",516,"Reg","74-76","All",,1,3,"SBI4U"
"BRO","BI",516,"Reg","74-76","All",,1,3,"SCH4U"
"BRO","BI",516,"Reg","74-76","All",,1,3,"SPH4U"
"BRO","BI",516,"Reg","74-76","All",,1,3,"MCV4U"
"BRO","BI",516,"Reg","74-76","All",,1,3,"MHF4U"
"BRO","BI",516,"Reg","74-76","All",,1,3,"SES4U"
"BRO","BI",516,"Reg","74-76","All",,1,3,"ICS4U"
"BRO","BCH",516,"Reg/Coop","","All",,1,1,"MHF4U"
"BRO","BCH",516,"Reg/Coop","","All",,1,1,"MCV4U"
"BRO","BCH",516,"Reg/Coop","","All",,2,1,"SCH4U"
"BRO","BCH",516,"Reg/Coop","","All",,3,2,"SBI4U"
"BRO","BCH",516,"Reg/Coop","","All",,3,2,"SPH4U"
"BRO","BCH",516,"Reg/Coop","","All",,3,2,"SES4U"
"BRO","BCH",516,"Reg/Coop","","All","Y",4,1,"4U Math"
"BRO","BCH",516,"Reg/Coop","","All","Y",4,1,"ENG4U"
"BRO","BIM",516,"Reg","77-79","All",,1,1,"MHF4U"
"BRO","BIM",516,"Reg","77-79","All",,1,1,"MCV4U"
"BRO","BIM",516,"Reg","77-79","All",,2,1,"SCH4U"
"BRO","BIM",516,"Reg","77-79","All",,3,2,"SBI4U"
"BRO","BIM",516,"Reg","77-79","All",,3,2,"SPH4U"
"BRO","BIM",516,"Reg","77-79","All",,3,2,"SES4U"
"BRO","BIM",516,"Reg","77-79","All","Y",4,1,"4U Math"
"BRO","BIM",516,"Reg","77-79","All","Y",4,1,"ENG4U"
"BRO","BIM",516,"Reg","77-79","All","Y",4,1,"ENG4U"
"BRO","BBP",516,"Reg","74-76","All",,1,1,"MHF4U"
"BRO","BBP",516,"Reg","74-76","All",,1,1,"MCV4U"
"BRO","BBP",516,"Reg","74-76","All",,2,1,"SCH4U"
"BRO","BBP",516,"Reg","74-76","All",,3,2,"SBI4U"
"BRO","BBP",516,"Reg","74-76","All",,3,2,"SPH4U"
"BRO","BBP",516,"Reg","74-76","All",,3,2,"SES4U"
"BRO","BBP",516,"Reg","74-76","All","Y",4,1,"4U Math"
"BRO","BBP",516,"Reg","74-76","All","Y",4,1,"ENG4U"
"BRO","BBP",516,"Reg","74-76","All","Y",4,1,"ENG4U"
"BRO","BG",516,"Reg/Coop/Int","74-76","All",,1,1,"ENG4U"
"BRO","BG",516,"Reg/Coop/Int","74-76","All",,2,1,"MHF4U"
"BRO","BG",516,"Reg/Coop/Int","74-76","All",,2,1,"MCV4U"
"BRO","BG",516,"Reg/Coop/Int","74-76","All","Y",3,1,"ICS4M"
"BRO","BGN",516,"Reg/Coop/Int","74-76","All",,1,1,"ENG4U"
"BRO","BGN",516,"Reg/Coop/Int","74-76","All",,2,1,"MHF4U"
"BRO","BGN",516,"Reg/Coop/Int","74-76","All",,2,1,"MCV4U"
"BRO","BGN",516,"Reg/Coop/Int","74-76","All","Y",3,1,"ICS4M"
"BRO","BSC",516,"Reg/Coop","74-76","All",,1,2,"ENG4U"
"BRO","BSC",516,"Reg/Coop","74-76","All",,1,2,"SPH4U"
"BRO","BSC",516,"Reg/Coop","74-76","All",,2,1,"MHF4U"
"BRO","BSC",516,"Reg/Coop","74-76","All",,2,1,"MCV4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,1,1,"MHF4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,1,1,"MCV4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,2,1,"SCH4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,3,2,"SBI4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,3,2,"SPH4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,3,2,"SES4U"
"BRO","BX",516,"Reg/Coop","74-76","All",,3,2,"4U Math"
"BRO","BX",516,"Reg/Coop","74-76","All","Y",4,1,"ENG4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,1,1,"MHF4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,1,1,"MCV4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,1,1,"SCH4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,2,2,"SBI4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,2,2,"SPH4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,2,2,"SES4U"
"BRO","BEG",516,"Reg/Coop","74-76","All",,2,2,"4U Math"
"BRO","BEG",516,"Reg/Coop","74-76","All","Y",3,1,"ENG4U"
"BRO","BGP","Open","Reg","","All",,1,1,"ENG4U"
"BRO","BGP","Open","Reg","","All",,2,1,"MHF4U"
"BRO","BGP","Open","Reg","","All",,2,1,"MCV4U"
"BRO","BGP","Open","Reg","","All","Y",3,1,"ICS4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,1,1,"MHF4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,1,1,"MCV4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,2,1,"SCH4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,3,2,"SBI4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,3,2,"SPH4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,3,2,"SES4U"
"BRO","BOV",516,"Reg/Coop","74-76","All",,3,2,"4U Math"
"BRO","BOV",516,"Reg/Coop","74-76","All","Y",4,1,"ENG4U"
"BRO","BH",516,"Reg/Coop","74-76","Mathematics and Statistics",,1,1,"MHF4U"
"BRO","BH",516,"Reg/Coop","74-76","Mathematics and Statistics",,2,1,"MCV4U"
"BRO","BH",516,"Reg/Coop","74-76","Mathematics and Statistics","Y",3,1,"ENG4U"
"BRO","BH",516,"Reg/Coop","74-76","Accelerated Mathematics Studies Stream",,1,1,"MHF4U"
"BRO","BH",516,"Reg/Coop","74-76","Accelerated Mathematics Studies Stream",,2,1,"MCV4U"
"BRO","BH",516,"Reg/Coop","74-76","Accelerated Mathematics Studies Stream","Y",3,1,"ENG4U"
"BRO","BH",516,"Reg/Coop","74-76","Accelerated Mathematics Studies Stream",,4,1,"Portfolio"
"BRO","BS",516,"Reg","74-76","All",,1,1,"MHF4U"
"BRO","BS",516,"Reg","74-76","All",,1,1,"MCV4U"
"BRO","BS",516,"Reg","74-76","All",,2,1,"SCH4U"
"BRO","BS",516,"Reg","74-76","All",,3,2,"SBI4U"
"BRO","BS",516,"Reg","74-76","All",,3,2,"SPH4U"
"BRO","BS",516,"Reg","74-76","All",,3,2,"SES4U"
"BRO","BS",516,"Reg","74-76","All",,3,2,"4U Math"
"BRO","BS",516,"Reg","74-76","All",,3,2,"ENG4U"
"BRO","BS",516,"Reg","74-76","All","Y",4,1,"ENG4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,1,1,"MHF4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,1,1,"MCV4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,2,1,"SCH4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,3,2,"SBI4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,3,2,"SPH4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,3,2,"SES4U"
"BRO","BIT",516,"Reg/Coop","74-76","All",,3,2,"4U Math"
"BRO","BIT",516,"Reg/Coop","74-76","All",,3,2,"ENG4U"
"BRO","BIT",516,"Reg/Coop","74-76","All","Y",4,1,"ENG4U"
"BRO","BJC",516,"Reg/Coop","74-76","All",,1,1,"MHF4U"
